CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
522575447,08/29/2006,13:00:00,,,43,08/30/2006,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1018029,240747,,UNKNOWN,M,,40.827414051,-73.877945775,"(40.827414051, -73.877945775)",PATROL BORO BRONX,,25-44,BLACK HISPANIC,F
403507361,11/05/2006,11:00:00,11/05/2006,17:40:00,66,11/05/2006,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,982556,171385,,,,,40.637096864,-74.006105014,"(40.637096864, -74.006105014)",PATROL BORO BKLYN SOUTH,,45-64,ASIAN / PACIFIC ISLANDER,F
631420068,09/08/2006,23:30:00,09/09/2006,00:01:00,106,09/09/2006,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1028213,186786,,,,,40.679260229,-73.841500185,"(40.679260229, -73.841500185)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,E
995609899,12/13/2011,18:40:00,12/13/2011,18:49:00,79,12/13/2011,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,NA,,NA,1000788,189718,,,,,40.687401619,-73.940369194,"(40.687401619, -73.940369194)",PATROL BORO BKLYN NORTH,,,UNKNOWN,D
480667624,08/14/2009,04:20:00,,,30,08/14/2009,113,FORGERY,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1000029,242245,,,,,40.831576128,-73.942982699,"(40.831576128, -73.942982699)",PATROL BORO MAN NORTH,,,UNKNOWN,E
605915885,10/27/2009,21:10:00,,,69,10/29/2009,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1010598,173684,,BLACK,M,,40.643368102,-73.905059257,"(40.643368102, -73.905059257)",PATROL BORO BKLYN SOUTH,,18-24,BLACK,M
820084484,12/16/2006,20:00:00,12/16/2006,20:05:00,40,12/16/2006,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1007115,237715,,,,,40.819127068,-73.917392286,"(40.819127068, -73.917392286)",PATROL BORO BRONX,,,UNKNOWN,E
799044409,07/21/2007,23:15:00,07/21/2007,23:45:00,75,07/22/2007,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1018297,184609,,,,,40.673328553,-73.877261612,"(40.673328553, -73.877261612)",PATROL BORO BKLYN NORTH,,25-44,BLACK,M
211477358,07/07/2008,21:30:00,07/08/2008,11:45:00,34,07/08/2008,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1001009,248745,,,,,40.849414928,-73.939425145,"(40.849414928, -73.939425145)",PATROL BORO MAN NORTH,,25-44,WHITE,M
986887005,09/17/2007,16:00:00,,,48,09/19/2007,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1014683,253122,<18,BLACK HISPANIC,M,,40.861391939,-73.889979903,"(40.861391939, -73.889979903)",PATROL BORO BRONX,,<18,BLACK,M
